"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","userCanNotTransferMoneyTest(Integer, Integer, Integer, String)","","Thu Jun 11 19:50:19 UTC 2026","skipped","Thu Jun 11 19:50:19 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanNotTransferMoneyTest"
"","1012","userCanNotDepositMoneyMore5000Test(String) User can not deposit money > 5000 rouble","","Thu Jun 11 19:50:12 UTC 2026","passed","Thu Jun 11 19:50:13 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyMore5000Test"
"","84","adminCanGenerateAuthTokenTest()","","Thu Jun 11 19:50:27 UTC 2026","passed","Thu Jun 11 19:50:27 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","394","adminCanCreateUserWithCorrectDataTest()","","Thu Jun 11 19:50:25 UTC 2026","passed","Thu Jun 11 19:50:26 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","519","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:17 UTC 2026","passed","Thu Jun 11 19:50:17 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","759","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:50:21 UTC 2026","passed","Thu Jun 11 19:50:21 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","512","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username=    , password=Password22$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:50:26 UTC 2026","passed","Thu Jun 11 19:50:26 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","3674","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:49:43 UTC 2026","passed","Thu Jun 11 19:49:47 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","524","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:50:16 UTC 2026","passed","Thu Jun 11 19:50:17 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","1836","userCanNotTransferZeroMoneyTest(Integer, Integer, Integer) User can NOT transfer money <=0","","Thu Jun 11 19:49:34 UTC 2026","passed","Thu Jun 11 19:49:36 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferZeroMoneyTest"
"","3729","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:49:51 UTC 2026","passed","Thu Jun 11 19:49:55 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","1025","userCanNotChangeNameTest(String, String) User can NOT change name John John John","","Thu Jun 11 19:49:56 UTC 2026","passed","Thu Jun 11 19:49:57 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","1780","userCanNotTransferMoneyTest(Integer, Integer, Integer) User can NOT transfer money","","Thu Jun 11 19:49:38 UTC 2026","passed","Thu Jun 11 19:49:40 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyTest"
"","1216","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:08 UTC 2026","passed","Thu Jun 11 19:50:10 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","3050","userCanNotChangeNameTest(String, String) User can NOT change name 123 123","","Thu Jun 11 19:49:59 UTC 2026","passed","Thu Jun 11 19:50:02 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","509","User can not deposit money into ANOTHER ACCOUNT","","Thu Jun 11 19:50:19 UTC 2026","passed","Thu Jun 11 19:50:19 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyIntoAnotherAccountTest"
"","253","userCanGenerateAuthTokenTest()","","Thu Jun 11 19:50:27 UTC 2026","passed","Thu Jun 11 19:50:27 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","550","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:18 UTC 2026","passed","Thu Jun 11 19:50:18 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","3881","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:49:47 UTC 2026","passed","Thu Jun 11 19:49:51 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","464","adminCanLoginWithCorrectDataTest()","","Thu Jun 11 19:50:14 UTC 2026","passed","Thu Jun 11 19:50:14 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","adminCanLoginWithCorrectDataTest"
"","343","userCanCreateAccountTest()","","Thu Jun 11 19:50:27 UTC 2026","passed","Thu Jun 11 19:50:27 UTC 2026","","apiTests.iteration1.CreateAccountTest","apiTests.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","506","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:50:16 UTC 2026","passed","Thu Jun 11 19:50:16 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","3162","userCanNotChangeNameTest(String, String) User can NOT change name ^$# **& ^$# **&","","Thu Jun 11 19:50:02 UTC 2026","passed","Thu Jun 11 19:50:05 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","1220","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:10 UTC 2026","passed","Thu Jun 11 19:50:11 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","543","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:50:15 UTC 2026","passed","Thu Jun 11 19:50:16 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","867","User can change name","","Thu Jun 11 19:50:22 UTC 2026","passed","Thu Jun 11 19:50:23 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanChangeNameTest"
"","406","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:50:25 UTC 2026","passed","Thu Jun 11 19:50:25 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","525","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:18 UTC 2026","passed","Thu Jun 11 19:50:19 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","712","userCanLoginWithCorrectData()","","Thu Jun 11 19:50:13 UTC 2026","passed","Thu Jun 11 19:50:14 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","userCanLoginWithCorrectData"
"","110","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] username=abc$, password=Password22$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:50:26 UTC 2026","passed","Thu Jun 11 19:50:27 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","1055","userCanNotDepositMoneyTest(String) User can not deposit money <= 0 5000 rouble","","Thu Jun 11 19:50:05 UTC 2026","passed","Thu Jun 11 19:50:06 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyTest"
"","0","User can change name","","Thu Jun 11 19:49:55 UTC 2026","skipped","Thu Jun 11 19:49:55 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanChangeNameTest"
"","116","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] username=ab, password=Password22$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Thu Jun 11 19:50:26 UTC 2026","passed","Thu Jun 11 19:50:26 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","1237","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:50:07 UTC 2026","passed","Thu Jun 11 19:50:08 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","3772","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:49:40 UTC 2026","passed","Thu Jun 11 19:49:43 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","115","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] username=abc%, password=Password22$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:50:27 UTC 2026","passed","Thu Jun 11 19:50:27 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","0","adminCannotCreateUserWithInvalidDataTest()","","Thu Jun 11 19:50:14 UTC 2026","skipped","Thu Jun 11 19:50:14 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCannotCreateUserWithInvalidDataTest"
