"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","userCanNotChangeNameTest(String, String) User can NOT change name John","","Thu Jun 11 19:32:50 UTC 2026","broken","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","230","userCanNotTransferZeroMoneyTest(Integer, Integer, Integer) User can NOT transfer money <=0","","Thu Jun 11 19:32:48 UTC 2026","broken","Thu Jun 11 19:32:48 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferZeroMoneyTest"
"","0","testTransferWithFraudCheck()","","Thu Jun 11 19:32:53 UTC 2026","skipped","Thu Jun 11 19:32:53 UTC 2026","","apiTests.TransferWithFraudCheckTest","apiTests.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","204","userCanCreateAccountTest()","","Thu Jun 11 19:32:53 UTC 2026","broken","Thu Jun 11 19:32:53 UTC 2026","","uiTests.iteration1.CreateAccountUITest","uiTests.iteration1.CreateAccountUITest","userCanCreateAccountTest"
"","7","adminCanLoginWithCorrectDataTest()","","Thu Jun 11 19:32:53 UTC 2026","broken","Thu Jun 11 19:32:53 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","adminCanLoginWithCorrectDataTest"
"","495","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:02 UTC 2026","passed","Thu Jun 11 19:33:03 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","208","userCanNotDepositMoneyTest(String) User can not deposit money <= 0 5000 rouble","","Thu Jun 11 19:32:51 UTC 2026","broken","Thu Jun 11 19:32:51 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyTest"
"","111","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] username=abc$, password=Password22$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:33:06 UTC 2026","passed","Thu Jun 11 19:33:06 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","224","userCanNotTransferZeroMoneyTest(Integer, Integer, Integer) User can NOT transfer money <=0","","Thu Jun 11 19:32:48 UTC 2026","broken","Thu Jun 11 19:32:48 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferZeroMoneyTest"
"","212","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:49 UTC 2026","broken","Thu Jun 11 19:32:49 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","210","userCanNotChangeNameTest(String, String) User can NOT change name ","","Thu Jun 11 19:32:50 UTC 2026","broken","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","0","adminCannotCreateUserWithInvalidDataTest()","","Thu Jun 11 19:32:53 UTC 2026","skipped","Thu Jun 11 19:32:53 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCannotCreateUserWithInvalidDataTest"
"","420","userCanCreateAccountTest()","","Thu Jun 11 19:33:06 UTC 2026","passed","Thu Jun 11 19:33:07 UTC 2026","","apiTests.iteration1.CreateAccountTest","apiTests.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","474","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:03 UTC 2026","passed","Thu Jun 11 19:33:04 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","478","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:04 UTC 2026","passed","Thu Jun 11 19:33:04 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","197","userCanNotDepositMoneyMore5000Test(String) User can not deposit money > 5000 rouble","","Thu Jun 11 19:32:52 UTC 2026","broken","Thu Jun 11 19:32:52 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyMore5000Test"
"","479","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [1] username=    , password=Password22$, role=USER, errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:33:05 UTC 2026","passed","Thu Jun 11 19:33:06 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","201","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:52 UTC 2026","broken","Thu Jun 11 19:32:52 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","211","userCanNotChangeNameTest(String, String) User can NOT change name      ","","Thu Jun 11 19:32:50 UTC 2026","broken","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","622","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:32:54 UTC 2026","passed","Thu Jun 11 19:32:54 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","476","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:05 UTC 2026","passed","Thu Jun 11 19:33:05 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","700","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:32:53 UTC 2026","passed","Thu Jun 11 19:32:54 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","217","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:52 UTC 2026","broken","Thu Jun 11 19:32:52 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","285","userCanLoginWithCorrectData()","","Thu Jun 11 19:32:52 UTC 2026","broken","Thu Jun 11 19:32:53 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","userCanLoginWithCorrectData"
"","229","userCanNotTransferMoneyTest(Integer, Integer, Integer) User can NOT transfer money","","Thu Jun 11 19:32:48 UTC 2026","broken","Thu Jun 11 19:32:49 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyTest"
"","584","User can not deposit money into ANOTHER ACCOUNT","","Thu Jun 11 19:32:57 UTC 2026","passed","Thu Jun 11 19:32:58 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyIntoAnotherAccountTest"
"","635","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:55 UTC 2026","passed","Thu Jun 11 19:32:55 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","246","userCanNotChangeNameTest(String, String) User can NOT change name John John John","","Thu Jun 11 19:32:50 UTC 2026","broken","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","213","userCanNotDepositMoneyTest(String) User can not deposit money <= 0 5000 rouble","","Thu Jun 11 19:32:51 UTC 2026","broken","Thu Jun 11 19:32:51 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyTest"
"","475","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:03 UTC 2026","passed","Thu Jun 11 19:33:03 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","814","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:58 UTC 2026","passed","Thu Jun 11 19:32:59 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","960","User can change name","","Thu Jun 11 19:33:01 UTC 2026","passed","Thu Jun 11 19:33:02 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanChangeNameTest"
"","0","adminCanCreateUserTest()","","Thu Jun 11 19:32:53 UTC 2026","skipped","Thu Jun 11 19:32:53 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCanCreateUserTest"
"","399","adminCanCreateUserWithCorrectDataTest()","","Thu Jun 11 19:33:05 UTC 2026","passed","Thu Jun 11 19:33:05 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","602","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:55 UTC 2026","passed","Thu Jun 11 19:32:56 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","100","adminCanGenerateAuthTokenTest()","","Thu Jun 11 19:33:07 UTC 2026","passed","Thu Jun 11 19:33:07 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","798","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:59 UTC 2026","passed","Thu Jun 11 19:32:59 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","882","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:59 UTC 2026","passed","Thu Jun 11 19:33:00 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","117","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [2] username=ab, password=Password22$, role=USER, errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","Thu Jun 11 19:33:06 UTC 2026","passed","Thu Jun 11 19:33:06 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","601","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:56 UTC 2026","passed","Thu Jun 11 19:32:57 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","290","userCanGenerateAuthTokenTest()","","Thu Jun 11 19:33:07 UTC 2026","passed","Thu Jun 11 19:33:07 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","474","userCanNotChangeNameTest(String, String) User can NOT change name","","Thu Jun 11 19:33:04 UTC 2026","passed","Thu Jun 11 19:33:05 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","587","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:57 UTC 2026","passed","Thu Jun 11 19:32:57 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","212","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:49 UTC 2026","broken","Thu Jun 11 19:32:49 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","605","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Thu Jun 11 19:32:54 UTC 2026","passed","Thu Jun 11 19:32:55 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","2341","userCanNotTransferMoneyMore10000Test(Integer, Integer, Integer) User can NOT transfer money > 10 000","","Thu Jun 11 19:32:46 UTC 2026","broken","Thu Jun 11 19:32:48 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyMore10000Test"
"","0","userCanNotTransferMoneyTest(Integer, Integer, Integer, String)","","Thu Jun 11 19:32:58 UTC 2026","skipped","Thu Jun 11 19:32:58 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanNotTransferMoneyTest"
"","878","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:33:00 UTC 2026","passed","Thu Jun 11 19:33:01 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","211","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:49 UTC 2026","broken","Thu Jun 11 19:32:49 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","204","userCanNotChangeNameTest(String, String) User can NOT change name ^$# **& ^$# **&","","Thu Jun 11 19:32:51 UTC 2026","broken","Thu Jun 11 19:32:51 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","116","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [4] username=abc%, password=Password22$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Thu Jun 11 19:33:06 UTC 2026","passed","Thu Jun 11 19:33:06 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","203","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:51 UTC 2026","broken","Thu Jun 11 19:32:52 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","209","userCanNotChangeNameTest(String, String) User can NOT change name 123 123","","Thu Jun 11 19:32:50 UTC 2026","broken","Thu Jun 11 19:32:51 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","203","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Thu Jun 11 19:32:52 UTC 2026","broken","Thu Jun 11 19:32:52 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","207","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Thu Jun 11 19:32:49 UTC 2026","broken","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","0","User can change name","","Thu Jun 11 19:32:50 UTC 2026","skipped","Thu Jun 11 19:32:50 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanChangeNameTest"
