"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4639","userCanNotTransferMoneyMore10000Test(Integer, Integer, Integer) User can NOT transfer money > 10 000","","Fri Jun 12 20:14:52 UTC 2026","passed","Fri Jun 12 20:14:57 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyMore10000Test"
"","83","adminCanGenerateAuthTokenTest()","","Fri Jun 12 20:15:46 UTC 2026","passed","Fri Jun 12 20:15:46 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","403","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:43 UTC 2026","passed","Fri Jun 12 20:15:44 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","0","adminCannotCreateUserWithInvalidDataTest()","","Fri Jun 12 20:15:34 UTC 2026","skipped","Fri Jun 12 20:15:34 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCannotCreateUserWithInvalidDataTest"
"","492","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Fri Jun 12 20:15:37 UTC 2026","passed","Fri Jun 12 20:15:37 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","407","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:42 UTC 2026","passed","Fri Jun 12 20:15:43 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","488","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Fri Jun 12 20:15:35 UTC 2026","passed","Fri Jun 12 20:15:36 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","499","userCanDepositMoneyTest(int) User can deposit money 1 - 5000 rouble","","Fri Jun 12 20:15:37 UTC 2026","passed","Fri Jun 12 20:15:38 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanDepositMoneyTest"
"","0","testTransferWithFraudCheck()","","Fri Jun 12 20:15:35 UTC 2026","skipped","Fri Jun 12 20:15:35 UTC 2026","","apiTests.TransferWithFraudCheckTest","apiTests.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","2937","userCanNotChangeNameTest(String, String) User can NOT change name ^$# **& ^$# **&","","Fri Jun 12 20:15:23 UTC 2026","passed","Fri Jun 12 20:15:26 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","2914","userCanNotChangeNameTest(String, String) User can NOT change name 123 123","","Fri Jun 12 20:15:20 UTC 2026","passed","Fri Jun 12 20:15:23 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","647","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:39 UTC 2026","passed","Fri Jun 12 20:15:39 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","906","userCanNotDepositMoneyMore5000Test(String) User can not deposit money > 5000 rouble","","Fri Jun 12 20:15:32 UTC 2026","passed","Fri Jun 12 20:15:33 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanNotDepositMoneyMore5000Test"
"","905","userCanNotChangeNameTest(String, String) User can NOT change name John John John","","Fri Jun 12 20:15:17 UTC 2026","passed","Fri Jun 12 20:15:18 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","729","userCanDepositMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:41 UTC 2026","passed","Fri Jun 12 20:15:41 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanDepositMoneyTest"
"","3582","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:13 UTC 2026","passed","Fri Jun 12 20:15:16 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","328","userCanCreateAccountTest()","","Fri Jun 12 20:15:46 UTC 2026","passed","Fri Jun 12 20:15:46 UTC 2026","","apiTests.iteration1.CreateAccountTest","apiTests.iteration1.CreateAccountTest","userCanCreateAccountTest"
"","899","userCanNotChangeNameTest(String, String) User can NOT change name ","","Fri Jun 12 20:15:18 UTC 2026","passed","Fri Jun 12 20:15:19 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","3615","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:09 UTC 2026","passed","Fri Jun 12 20:15:13 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","397","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:43 UTC 2026","passed","Fri Jun 12 20:15:43 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","393","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:44 UTC 2026","passed","Fri Jun 12 20:15:44 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","761","User can change name","","Fri Jun 12 20:15:41 UTC 2026","passed","Fri Jun 12 20:15:42 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanChangeNameTest"
"","264","userCanGenerateAuthTokenTest()","","Fri Jun 12 20:15:46 UTC 2026","passed","Fri Jun 12 20:15:46 UTC 2026","","apiTests.iteration1.LoginUserTest","apiTests.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","3558","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:02 UTC 2026","passed","Fri Jun 12 20:15:05 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","3522","userCanTransferMoneyTest(Integer, Integer, Integer) User can transfer money 1 - 10 000 rouble","","Fri Jun 12 20:15:05 UTC 2026","passed","Fri Jun 12 20:15:09 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanTransferMoneyTest"
"","0","User can change name","","Fri Jun 12 20:15:16 UTC 2026","skipped","Fri Jun 12 20:15:16 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanChangeNameTest"
"","900","userCanNotChangeNameTest(String, String) User can NOT change name      ","","Fri Jun 12 20:15:19 UTC 2026","passed","Fri Jun 12 20:15:20 UTC 2026","","uiTests.iteration2.ChangeNameUITest","uiTests.iteration2.ChangeNameUITest","userCanNotChangeNameTest"
"","0","adminCanCreateUserTest()","","Fri Jun 12 20:15:34 UTC 2026","skipped","Fri Jun 12 20:15:34 UTC 2026","","uiTests.iteration1.CreateUserUITest","uiTests.iteration1.CreateUserUITest","adminCanCreateUserTest"
"","91","adminCanNotCreateUserWithInvalidDataTest(String, String, String, String, List) [3] username=abc$, password=Password22$, role=USER, errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Jun 12 20:15:45 UTC 2026","passed","Fri Jun 12 20:15:45 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","401","adminCanLoginWithCorrectDataTest()","","Fri Jun 12 20:15:34 UTC 2026","passed","Fri Jun 12 20:15:34 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","adminCanLoginWithCorrectDataTest"
"","481","userCanNotDepositMoneyTest(Integer, String) User can not deposit money < 0 or > 5000 rouble","","Fri Jun 12 20:15:36 UTC 2026","passed","Fri Jun 12 20:15:36 UTC 2026","","apiTests.iteration2.DepositMoneyTest","apiTests.iteration2.DepositMoneyTest","userCanNotDepositMoneyTest"
"","360","adminCanCreateUserWithCorrectDataTest()","","Fri Jun 12 20:15:45 UTC 2026","passed","Fri Jun 12 20:15:45 UTC 2026","","apiTests.iteration1.CreateUserTest","apiTests.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","1117","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Fri Jun 12 20:15:29 UTC 2026","passed","Fri Jun 12 20:15:30 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","396","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:44 UTC 2026","passed","Fri Jun 12 20:15:44 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","406","userCanNotChangeNameTest(String, String) User can NOT change name","","Fri Jun 12 20:15:42 UTC 2026","passed","Fri Jun 12 20:15:42 UTC 2026","","apiTests.iteration2.ChangeNameTest","apiTests.iteration2.ChangeNameTest","userCanNotChangeNameTest"
"","1576","userCanNotTransferMoneyTest(Integer, Integer, Integer) User can NOT transfer money","","Fri Jun 12 20:15:00 UTC 2026","passed","Fri Jun 12 20:15:02 UTC 2026","","uiTests.iteration2.TransferMoneyUITest","uiTests.iteration2.TransferMoneyUITest","userCanNotTransferMoneyTest"
"","0","userCanNotTransferMoneyTest(Integer, Integer, Integer, String)","","Fri Jun 12 20:15:39 UTC 2026","skipped","Fri Jun 12 20:15:39 UTC 2026","","apiTests.iteration2.TransferMoneyTest","apiTests.iteration2.TransferMoneyTest","userCanNotTransferMoneyTest"
"","1127","userCanDepositMoneyTest(String) User can deposit money 1 - 5000 rouble","","Fri Jun 12 20:15:28 UTC 2026","passed","Fri Jun 12 20:15:29 UTC 2026","","uiTests.iteration2.DepositMoneyUITest","uiTests.iteration2.DepositMoneyUITest","userCanDepositMoneyTest"
"","632","userCanLoginWithCorrectData()","","Fri Jun 12 20:15:33 UTC 2026","passed","Fri Jun 12 20:15:34 UTC 2026","","uiTests.iteration1.LoginUserUITest","uiTests.iteration1.LoginUserUITest","userCanLoginWithCorrectData"
